what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1318320261729
os,sysinfo,,,"win32",1318320261732
arch,sysinfo,,,"x86",1318320261732
ws,sysinfo,,,"win32",1318320261732
locale,sysinfo,,,"vi_VN",1318320261732
processors,sysinfo,,,"4",1318320261732
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318320261732
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1318320261732
java.specification.name,sysinfo,,,"Java Platform API Specification",1318320261732
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318320261732
java.specification.version,sysinfo,,,"1.6",1318320261732
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318320261732
java.version,sysinfo,,,"1.6.0_26",1318320261732
java.vm.info,sysinfo,,,"mixed mode, sharing",1318320261732
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318320261732
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318320261732
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318320261732
java.vm.specification.version,sysinfo,,,"1.0",1318320261732
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318320261732
java.vm.version,sysinfo,,,"20.1-b02",1318320261732
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1318320261952
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1318320262460
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1318320262692
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1318320263079
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1318320263207
